# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 3.00000000e+01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
14              	1.49224027e-01	7.22726570e-02	7.69513697e-02	9.35742530e-02	3.76834648e-01	-2.83260395e-01	3.30047522e-01	-2.33935633e-03	3.73060067e-03	9.41539069e-17	3.73060067e-03	-3.73060067e-03
15              	1.27514996e-01	6.20042327e-02	6.55107628e-02	7.01306005e-02	4.18955183e-01	-3.48824582e-01	3.83889882e-01	-1.75326501e-03	3.18787489e-03	1.20670589e-16	3.18787489e-03	-3.18787489e-03
16              	8.49052505e-02	4.11201632e-02	4.37850874e-02	5.32984841e-02	5.36532394e-01	-4.83233910e-01	5.09883152e-01	-1.33246210e-03	2.12263126e-03	1.16574693e-16	2.12263126e-03	-2.12263126e-03
17              	3.83911698e-02	1.80191597e-02	2.03720100e-02	4.70570059e-02	6.29578638e-01	-5.82521632e-01	6.06050135e-01	-1.17642515e-03	9.59779244e-04	9.74255370e-17	9.59779244e-04	-9.59779244e-04
18              	1.43139279e-03	-4.36752768e-04	1.86814556e-03	4.60979665e-02	6.91275316e-01	-6.45177349e-01	6.68226332e-01	-1.15244916e-03	3.57848197e-05	6.29621564e-17	3.57848197e-05	-3.57848197e-05
19              	-1.53403173e-02	-8.84446859e-03	-6.49584869e-03	4.69723979e-02	7.25066136e-01	-6.78093738e-01	7.01579937e-01	-1.17430995e-03	-3.83507932e-04	1.97088609e-17	-3.83507932e-04	3.83507932e-04
20              	-1.25570052e-02	-7.37992655e-03	-5.17707866e-03	4.40569577e-02	7.28087175e-01	-6.84030217e-01	7.06058696e-01	-1.10142394e-03	-3.13925130e-04	-6.93446248e-18	-3.13925130e-04	3.13925130e-04
21              	2.44097196e-03	2.23982558e-04	2.21698940e-03	3.98601369e-02	6.96624379e-01	-6.56764242e-01	6.76694311e-01	-9.96503423e-04	6.10242990e-05	-3.58227466e-17	6.10242990e-05	-6.10242990e-05
22              	2.66908194e-02	1.25055028e-02	1.41853166e-02	3.35962767e-02	6.41649094e-01	-6.08052818e-01	6.24850956e-01	-8.39906918e-04	6.67270485e-04	-4.70760632e-17	6.67270485e-04	-6.67270485e-04
23              	4.88146909e-02	2.37324174e-02	2.50822735e-02	2.69971231e-02	6.07030963e-01	-5.80033839e-01	5.93532401e-01	-6.74928077e-04	1.22036727e-03	-5.09590204e-17	1.22036727e-03	-1.22036727e-03
