# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 3.00000000e+01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
37              	-8.37080151e+01	-4.05651254e+01	-4.31428897e+01	2.26428906e+02	-7.90999553e+01	3.05528861e+02	-1.92314408e+02	1.28888213e+00	-1.18591528e+00	-1.53894666e+00	-1.95538861e+00	4.16441954e-01
38              	-9.69967238e+01	-4.73573845e+01	-4.96393392e+01	1.95177783e+02	-6.58151701e+01	2.60992954e+02	-1.63404062e+02	1.14097736e+00	-1.11575186e+00	-1.49525265e+00	-1.86337819e+00	3.68125534e-01
39              	-1.05095383e+02	-5.16381645e+01	-5.34572181e+01	1.47297718e+02	-4.75927693e+01	1.94890487e+02	-1.21241628e+02	9.09526781e-01	-1.01940118e+00	-1.40435653e+00	-1.72157945e+00	3.17222922e-01
40              	-1.09153305e+02	-5.39004662e+01	-5.52528389e+01	9.96589862e+01	-3.03325212e+01	1.29991507e+02	-8.01620143e+01	6.76186335e-01	-9.09089031e-01	-1.29239525e+00	-1.55528666e+00	2.62891406e-01
41              	-1.09244302e+02	-5.41872680e+01	-5.50570344e+01	5.45256691e+01	-1.50117850e+01	6.95374541e+01	-4.22746196e+01	4.34883187e-01	-7.64030996e-01	-1.12422339e+00	-1.32614269e+00	2.01919301e-01
42              	-1.07808115e+02	-5.36829611e+01	-5.41251536e+01	1.75051013e+01	-3.31715804e+00	2.08222594e+01	-1.20697087e+01	2.21096273e-01	-6.39910951e-01	-9.76261859e-01	-1.12804188e+00	1.51780021e-01
43              	-1.06555370e+02	-5.32400223e+01	-5.33153475e+01	-7.69371801e+00	4.01271138e+00	-1.17064294e+01	7.85957038e+00	3.76626054e-02	-5.46714150e-01	-8.63471465e-01	-9.78449883e-01	1.14978418e-01
44              	-1.06203481e+02	-5.31902751e+01	-5.30132054e+01	-2.08610053e+01	7.69505696e+00	-2.85560623e+01	1.81255596e+01	-8.85348529e-02	-4.88011123e-01	-7.94556748e-01	-8.85289497e-01	9.07327487e-02
45              	-1.07205686e+02	-5.37623000e+01	-5.34433861e+01	-2.48524163e+01	8.24619993e+00	-3.30986162e+01	2.06724081e+01	-1.59456938e-01	-4.17030762e-01	-7.15891119e-01	-7.74976321e-01	5.90852026e-02
46              	-1.07794927e+02	-5.40803958e+01	-5.37145312e+01	-2.26814513e+01	6.84069697e+00	-2.95221482e+01	1.81814226e+01	-1.82932299e-01	-3.26746112e-01	-6.37720077e-01	-6.45606151e-01	7.88607402e-03
47              	-1.08529467e+02	-5.44399691e+01	-5.40894984e+01	-1.61690483e+01	4.26113521e+00	-2.04301835e+01	1.23456593e+01	-1.75235310e-01	-2.31337589e-01	-5.50518977e-01	-5.06597077e-01	-4.39219000e-02
48              	-1.09359401e+02	-5.48307196e+01	-5.45286813e+01	-7.54097979e+00	1.04731504e+00	-8.58829483e+00	4.81780493e+00	-1.51019161e-01	-1.11070484e-01	-4.45480211e-01	-3.33810589e-01	-1.11669621e-01
49              	-1.09449532e+02	-5.48299377e+01	-5.46195946e+01	1.15881938e+00	-1.53404361e+00	2.69286299e+00	-2.11345330e+00	-1.05171573e-01	-2.13392117e-02	-3.71924264e-01	-2.07301343e-01	-1.64622920e-01
50              	-1.08504548e+02	-5.42790536e+01	-5.42254945e+01	7.75203384e+00	-2.93536610e+00	1.06873999e+01	-6.81138303e+00	-2.67795476e-02	6.04013117e-02	-3.11695558e-01	-9.54464675e-02	-2.16249091e-01
51              	-1.05624997e+02	-5.27649523e+01	-5.28600443e+01	1.20468355e+01	-3.25317689e+00	1.53000124e+01	-9.27659463e+00	4.75459762e-02	1.35539069e-01	-2.60568333e-01	5.25490268e-03	-2.65823236e-01
52              	-1.00132054e+02	-4.99566497e+01	-5.01754045e+01	1.42471462e+01	-2.84874110e+00	1.70958873e+01	-9.97231421e+00	1.09377412e-01	2.03110678e-01	-2.09759710e-01	9.82308229e-02	-3.07990533e-01
53              	-9.16545626e+01	-4.56740586e+01	-4.59805039e+01	1.54206256e+01	-2.21547413e+00	1.76360998e+01	-9.92578694e+00	1.53222664e-01	2.46055206e-01	-1.72090624e-01	1.60009895e-01	-3.32100518e-01
54              	-8.09391925e+01	-4.02837522e+01	-4.06554403e+01	1.47760265e+01	-1.64182369e+00	1.64178502e+01	-9.02983693e+00	1.85844087e-01	2.73942927e-01	-1.35503374e-01	2.06191239e-01	-3.41694614e-01
55              	-6.92517249e+01	-3.44372008e+01	-3.48145240e+01	1.23898685e+01	-1.31260724e+00	1.37024757e+01	-7.50754147e+00	1.88661590e-01	2.99603313e-01	-8.06417247e-02	2.59282450e-01	-3.39924175e-01
56              	-5.75710209e+01	-2.86235833e+01	-2.89474376e+01	8.72470440e+00	-1.16501785e+00	9.88972224e+00	-5.52737005e+00	1.61927168e-01	3.07516165e-01	-1.36122161e-02	3.00710057e-01	-3.14322273e-01
57              	-4.64955003e+01	-2.31245224e+01	-2.33709779e+01	4.64044674e+00	-1.04257067e+00	5.68301740e+00	-3.36279404e+00	1.23227748e-01	2.95720315e-01	4.60301060e-02	3.18735368e-01	-2.72705262e-01
58              	-3.67125149e+01	-1.82717771e+01	-1.84407378e+01	8.25648492e-01	-9.20522305e-01	1.74617080e+00	-1.33334655e+00	8.44803788e-02	2.64074397e-01	4.78678981e-02	2.88008346e-01	-2.40140448e-01
59              	-2.86985880e+01	-1.42966716e+01	-1.44019163e+01	-1.97295893e+00	-7.34633949e-01	-1.23832498e+00	2.51845517e-01	5.26223520e-02	2.24874391e-01	2.68102873e-02	2.38279535e-01	-2.11469247e-01
60              	-2.27985418e+01	-1.13659844e+01	-1.14325573e+01	-3.50010153e+00	-4.88937857e-01	-3.01116367e+00	1.26111291e+00	3.32864446e-02	1.88155094e-01	4.84019326e-03	1.90575190e-01	-1.85734997e-01
61              	-1.83477269e+01	-9.15435010e+00	-9.19337677e+00	-3.97839450e+00	-3.69208526e-01	-3.60918598e+00	1.61998873e+00	1.95133334e-02	1.59814137e-01	-9.22122661e-04	1.59353076e-01	-1.60275198e-01
62              	-1.46396208e+01	-7.30960525e+00	-7.33001554e+00	-3.42226581e+00	-4.08019934e-01	-3.01424587e+00	1.30311297e+00	1.02051433e-02	1.35021904e-01	-5.67924687e-04	1.34737942e-01	-1.35305866e-01
63              	-1.11500625e+01	-5.56786886e+00	-5.58219363e+00	-2.13783910e+00	-6.47615379e-01	-1.49022372e+00	4.21304169e-01	7.16238544e-03	1.12250192e-01	-1.60680072e-03	1.11446792e-01	-1.13053593e-01
64              	-7.73548694e+00	-3.86046430e+00	-3.87502264e+00	-5.16166581e-01	-9.31386741e-01	4.15220160e-01	-6.73303451e-01	7.27917299e-03	9.35265583e-02	9.19078877e-05	9.35725122e-02	-9.34806043e-02
65              	-4.50608946e+00	-2.24500989e+00	-2.26107958e+00	1.00499005e+00	-1.13637349e+00	2.14136355e+00	-1.63886852e+00	8.03484568e-03	7.60213036e-02	-2.04472116e-03	7.49989430e-02	-7.70436642e-02
66              	-1.66916125e+00	-8.26509706e-01	-8.42651542e-01	2.06021916e+00	-1.18146950e+00	3.24168865e+00	-2.21157908e+00	8.07091773e-03	6.02427553e-02	-6.65134368e-03	5.69170834e-02	-6.35684271e-02
67              	6.20426903e-01	3.18463458e-01	3.01963445e-01	2.64371994e+00	-1.07937932e+00	3.72309926e+00	-2.40123929e+00	8.25000644e-03	4.48463598e-02	-1.36768569e-02	3.80079314e-02	-5.16847883e-02
68              	2.41012228e+00	1.21239805e+00	1.19772423e+00	2.82747898e+00	-8.55064459e-01	3.68254344e+00	-2.26880395e+00	7.33690805e-03	2.41424142e-02	-2.82623739e-02	1.00112273e-02	-3.82736012e-02
69              	3.86125961e+00	1.93387558e+00	1.92738403e+00	2.61732278e+00	-5.32467134e-01	3.14978992e+00	-1.84112853e+00	3.24577308e-03	1.28642129e-02	-3.37721049e-02	-4.02183950e-03	-2.97502653e-02
