# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 5.00000000e+01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
39              	4.70211381e-03	2.35073569e-03	2.35137812e-03	-8.33686769e-03	-1.84231024e-03	-6.49455745e-03	2.32612361e-03	-3.21215212e-07	2.72495644e-08	1.28451912e-09	2.78918240e-08	-2.66073048e-08
40              	4.70576084e-03	2.35247819e-03	2.35328265e-03	-8.35626401e-03	-1.85945902e-03	-6.49680498e-03	2.31867298e-03	-4.02231725e-07	1.46344895e-08	1.33108943e-09	1.53000342e-08	-1.39689448e-08
41              	4.71275036e-03	2.35591825e-03	2.35683210e-03	-8.37574215e-03	-1.87526831e-03	-6.50047384e-03	2.31260277e-03	-4.56925633e-07	3.53214998e-09	1.36283398e-09	4.21356697e-09	-2.85073299e-09
42              	4.72251799e-03	2.36077436e-03	2.36174362e-03	-8.39546409e-03	-1.88928267e-03	-6.50618142e-03	2.30844937e-03	-4.84630666e-07	-5.83644672e-09	1.38151703e-09	-5.14568821e-09	6.52720523e-09
43              	4.73316451e-03	2.36609273e-03	2.36707179e-03	-8.41463742e-03	-1.90050483e-03	-6.51413259e-03	2.30681388e-03	-4.89530316e-07	-1.27111082e-08	1.38573424e-09	-1.20182411e-08	1.34039753e-08
44              	4.74262277e-03	2.37083397e-03	2.37178880e-03	-8.43397335e-03	-1.90913997e-03	-6.52483338e-03	2.30784671e-03	-4.77414676e-07	-1.65853376e-08	1.38323752e-09	-1.58937188e-08	1.72769564e-08
45              	4.74989054e-03	2.37449169e-03	2.37539885e-03	-8.45476102e-03	-1.91617590e-03	-6.53858512e-03	2.31120461e-03	-4.53577795e-07	-1.76240066e-08	1.37515789e-09	-1.69364277e-08	1.83115856e-08
46              	4.75457869e-03	2.37686119e-03	2.37771750e-03	-8.47670938e-03	-1.92235642e-03	-6.55435296e-03	2.31599827e-03	-4.28159215e-07	-1.57700850e-08	1.35948124e-09	-1.50903444e-08	1.64498257e-08
47              	4.75736984e-03	2.37828313e-03	2.37908670e-03	-8.50105339e-03	-1.92849016e-03	-6.57256323e-03	2.32203654e-03	-4.01784791e-07	-1.21671182e-08	1.33789394e-09	-1.14981712e-08	1.28360651e-08
48              	4.75874789e-03	2.37899636e-03	2.37975153e-03	-8.52865760e-03	-1.93510758e-03	-6.59355002e-03	2.32922122e-03	-3.77584981e-07	-7.64391392e-09	1.31739860e-09	-6.98521463e-09	8.30261322e-09
